название,марка,модель,номер,,прайс,общий_номер
Насос основной,Hyundai,"r290lc-9, r300lc-9","31q8-10010, 31q8-10030",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,220000,100
Насос основной,Doosan,dx300,31q8-10030,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,100
Насос основной,Volvo,ec360,14566659,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,200000,101
Насос основной,Volvo,ec290,14524052,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,200000,102
Насос основной,Volvo,"ec210, ec240","14595621, 14531856",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,103
Насос основной,Volvo,ec180,14533644,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,104
Насос основной,Volvo,ec360,14566480,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,105
Насос основной,Volvo,ec460,14526609,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,106
Насос основной,Hyundai,r140lc-7,31n3-10011,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,107
Насос основной,Hyundai,r140w-7,31n3-10011,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,108
Насос основной,Hyundai,"r160lc-7, r180lc-7","31n5-10011, 31n5-10030",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,109
Насос основной,Hyundai,r170w-7,"31n5-15020, 31n5-15030, 31n5-15010, 31n5-15011",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,110
Насос основной,Hyundai,"r210lc-7, r250lc-7","k3v112dt, 31n6-10010, 31n6-10050, 31n6-10051, 31n6-10080, 31n6-10020, 31n7-10010, 31n6-10051",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,180000,111
Насос основной,Hyundai,r290lc-7,"31n8-10070, 31n8-10080, 31n8-10030, 31n8-10050",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,220000,112
Насос основной,Hyundai,r320lc-7,31n9-10010,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,113
Насос основной,Hyundai,r140lc-9,"31q4-10020, 31q4-10010",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,114
Насос основной,Hyundai,r140w-9,31q4-15030,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,115
Насос основной,Hyundai,"r160lc-9, r180lc-9","31q5-10010, 31q5-10020",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,116
Насос основной,Hyundai,"r170w-9, r180w-9","31q5-15030, k5v80dtp",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,150000,117
Насос основной,Hyundai,r260lc-9,"31q6-10050, 31q7-10050",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,220000,118
Насос основной,Hyundai,r330lc-9,"31q9-10080, 31q9-10030",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,120
Насос основной,Hyundai,r450lc-9,31qb-10011,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,121
Насос основной,Doosan,dx225,"400914-00212, k1000698",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,220000,122
Насос основной,Doosan,solar 225nlcv,"400914-00219c, 401-00059",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,220000,123
Насос основной,Doosan,solar 255lcv,"400914-00220с, 401-00347",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,220000,124
Насос основной,Hyundai,r450lc-7,31qb-10030,https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,125
Насос основной,Hyundai,r380lc-9,"31qc-10010, 31qa-10021",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,126
Насос основной,Doosan,dx340,"401-00253, 400914-00245",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,127
Насос основной,Doosan,dx420,"400914-00269, 400914-00284",https://гидро-насос.рф/wp-content/uploads/2018/01/228.jpg,360000,128
Редуктор хода в сборе,Volvo,ec240,k1037757,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,120000,150
Редуктор хода в сборе,Doosan,dx225,170401-00039,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,120000,150
Редуктор хода в сборе,Hyundai,"r210lc-7, r250lc-7, r220lc-9","31n6-40050, 31n6-40051,31n7-40010, 31n7-40021",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,120000,150
Редуктор хода в сборе,Doosan,dx255,"k1011413a, 170401-00042a , 401-00023",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,120000,150
Редуктор хода в сборе,Hyundai,r210lc-7,31n6-40060,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,120000,150
Редуктор хода в сборе,Hyundai,r210lc-7,31n6-40040bg,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,120000,150
Редуктор хода в сборе,Hyundai,r250lc-7,"31n7-40010, 31n7-40020, 31n7-40021",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,120000,150
Редуктор хода в сборе,Doosan,solar 255lcv,k9000395,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,180000,154
Редуктор хода в сборе,Doosan,dx340,k1003134,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,180000,156
Редуктор хода в сборе,Hyundai,r160lc-7,"31n5-40010, 31n5-40010bg",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,180000,158
Редуктор хода в сборе,Hyundai,r180lc-7,xkah-00474,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,180000,160
Редуктор хода в сборе,Hyundai,r180lc-9,31q6-40121,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,180000,161
Редуктор хода в сборе,Hyundai,r210lc-9,"31q6-40022, 31q6-40031",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,180000,162
Редуктор хода в сборе,Hyundai,r220lc-9,39q6-40100,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,180000,162
Редуктор хода в сборе,Hyundai,r260lc-9,39q8-40010,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,220000,163
Редуктор хода в сборе,Hyundai,r290lc-7,"31n8-40050, 31n8-40071",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,220000,164
Редуктор хода в сборе,Hyundai,r290lc-9,31q8-40060,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,220000,165
Редуктор хода в сборе,Hyundai,r300lc-9,31q8-40061,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,220000,165
Редуктор хода в сборе,Hyundai,r320lc-7,31n9-40020bg,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,220000,166
Редуктор хода в сборе,Hyundai,r330lc-9,"31q9-40031, 31q9-40033",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,220000,167
Редуктор хода в сборе,Volvo,ec360,"7117-45060, 14528259",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,300000,170
Редуктор хода в сборе,Hyundai,r360lc-7,"31na-40020, 31na-40010, xkah-01061",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,300000,170
Редуктор хода в сборе,Volvo,"ec360, ec380","14603461, 14603461, 14551150, 14551150",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,300000,170
Редуктор хода в сборе,Hyundai,r360lc-7,31na-40010,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,300000,170
Редуктор хода в сборе,Doosan,dx340,"14603461, 14603461, 14551150, 14551150",https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,300000,170
Редуктор поворота,Hyundai,r210lc-7,31n6‑10181,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,300000,250
Редуктор поворота,Hyundai,r180lc-7,31n6‑10150,https://1reduktor.ru/wp-content/cache/thumb/dd/6216b09bd5c5add_250x310.jpg,300000,250
Редуктор хода,Volvo,ec140,14573820,https://1reduktor.ru/wp-content/cache/thumb/4b/e6f90855b57564b_250x310.jpg,180000,300
Редуктор хода,Volvo,ec210,"14525366, 14528733",https://1reduktor.ru/wp-content/cache/thumb/4b/e6f90855b57564b_250x310.jpg,180000,302
